,1980,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,,,,1529615.5,1532598,1542211,1550727,1558374,1565313.5,1575465,1585449,1586608,,,,
2,,,,,,,,,,,1587496,1590475,,,,
3,,,,,1532598,1542213,1550728,1558377,1565316,1575878,1587496,1595526,1599047,,,
4,,1686041,1607768,1676885,,,,,,,,,,,,
5,,,,1531292,1541135,1551253.5,1560437.5,1568887.5,1576745.5,1575419,1575888.5,1590767.5,,,,
6,,,,,,,,,,,1573841,1591475,,,,
7,,,,,1541136,1551252,1560434,1568887,1576749,1570935,1573841,1586424,1595370,,,
8,,1600501,1641068,1724313,,,,,,,,,,,,
9,2671996.5,3273157,3265918,3060907.5,3073733,3093464.5,3111164.5,3127261.5,3142059,3150884,3161337.5,3177375.5,,,,
10,,,,,,,,,,,3161337,3181950,,,,
11,,,,,3073734,3093465,3111162,3127264,3142065,3146813,3161337,3181950,3194417,,,
12,2671996.5,3273157,3265918,3060907.5,3073733,3093464.5,3111164.5,3127261.5,3142059,3150884,3161337.5,3177375.5,,,,
13,,3273178,3265918,3232258,3073733,3093465,3111163,3127263,3142064,3150886,3161336,,,,,
14,,,,72.1,72.1,72.1,72.1,72.1,72.1,73.9,,72.91,,,,
15,67,,,71.5,72.1,72.1,72.1,,,,,,,,,
16,,69.3,68.5,71.5,72.1,72.5,72.1,72.5,72,72,72.1,72.1,,,,
17,,69.64,71.53,72.03,74.12,73.75,73.31,73.72,,,,,,,,
18,,,,78.6,77.5,77.94,78.6,78.6,78.6,78,,77.78,,,,
19,72.3,,,78.1,78.6,78.6,78.6,,,,,,,,,
20,,75.4,,78.1,78.6,77.4,77,77.3,77,77,78.6,78.6,,,,
21,,75.86,78.33,78.04,80.45,79.2,78.42,78.93,,,,,,,,
22,,,,,8238,3721,,,4328,,,5896,,,,
23,,,,,8238,,,,,,,,,,,
24,,,74.7,90.7,91.3,,,,,,,,,,,
25,,,74.7,90.7,91.3,,,,,,,,,,,
26,,,71,88.6,91.3,,,,,,,,,,,
27,,,71,88.6,91.3,,,,,,,,,,,
28,,,72.7,89.6,91.8,93.1,92.6,92.3,,,,,,,,
29,,,72.7,89.6,91.8,93.1,92.6,92.3,,,,,,,,
30,,,53.87840671,54.64876033,49.7,49.07407407,46.74751929,47.2406181,44.05737705,43.55329949,,,,,,
31,,,59.1,54.65,49.7,49.07,46.75,47.24,44.06,43.55,49.45,45.53,,,,
32,,,59.1,54.65,49.7,49.07,46.75,47.24,44.06,43.55,49.45,45.53,46.19935162,,,
33,,,82.65412748,77.65190525,74.8,73.97563677,70.51961824,69.91525424,63.84015595,65.30408774,,,,,,
34,,,84.7,77.65,74.8,73.98,70.52,69.92,63.84,65.3,66.59,61.43,,,,
35,,,84.7,77.65,74.8,73.98,70.52,69.92,63.84,65.3,66.59,61.43,64.6742512,,,
36,,,68.288854,66.1681279,62.09813875,61.79966044,59.63855422,58.81081081,54.16875,53.71655104,,,,,,
37,,,71.9,66.17,62.1,61.8,59.64,58.81,54.17,53.72,57.88,53.11,,,,
38,,,71.9,66.17,62.1,61.8,59.64,58.81,54.17,53.72,57.88,53.11,55.01735465,,,
39,,,,,,,,,,,,,,,,
40,,27840.5,33871,34350.5,34343.5,34612,36193.5,38833.5,40529.5,41745.5,43016,43848,43983.5,43991.5,,
